##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_90000038_A;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;X
EVT_90000038_B;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;Create Wallachia;X
EVT_90000038_C;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;X
EVT_90000039_NAME;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;Romania now an Hungarian puppet!;X
EVT_90000039_DESC;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;We are now at the mercy of the Hungarians!;X
EVT_90000040_NAME;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;Occupation of Hungary;X
EVT_90000040_DESC;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;What shall be our policy towards occupied Hungary?;X
EVT_90000040_A;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;Create a loyal puppet.;X
EVT_90000040_B;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;Annex them!;X
EVT_90000041_NAME;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?Romania to rejoin Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;X
EVT_90000041_DESC;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;X
EVT_90000042_NAME;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;Romania to rejoin Axis?;X
EVT_90000042_DESC;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;Now that the war is over, shall we request to rejoin the Axis?;X
EVT_90000043_NAME;Hungary to rejoin the Axis?EVT_90000043_DESC;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;Hungary to rejoin the Axis?;X
EVT_90000043_DESC;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Hungary has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;X
EVT_90000044_NAME;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;Romania wants to rejoin the Axis;X
EVT_90000044_DESC;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;Romania has requested to rejoin the Axis now that the Transylvanian war is over, what shall be our response?;X
EVT_90000602_A;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;Radical Fascists take over!;X
EVT_90000602_B;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;Conservative Industrialists!;X
EVT_90000616_A;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;Help Croatian development;X
EVT_90000621_NAME;Future of Montenegro;;Future of Montenegro;;Future of Montenegro;;Future of Montenegro;;Future of Montenegro;;X
EVT_90000621_DESC;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;What shall we do with the Kingdom of Montenegro? Some want to colonize it, but others fear this may provoke an armed rebellion against our rule.;X
EVT_90000621_A;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;Remove their independence and colonize them. ;X
EVT_90000621_B;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;Gradual Italianization is the best policy.;X
EVT_90000621_C;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;Status Quo is just fine.;X
EVT_90000629_NAME;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;Spanish-Italian Union?;X
EVT_90000629_DESC;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;Italy has suggested an Italian-Spanish Union. This will strengthen our country but the Allies have warned us not to step away from neutrality.;X
351NAME;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;Petain has died!;x
351DESC;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;Marshal Petain, our hero in both World Wars, has died in peace. While the Marshal is universally loved in France, his old age prevented him from either establishing unquestionable power or a clear path for the country. Several factions therefor claim the succesion, some of them seeking to strengthen France's power within the German Order, others striving for return France to her former glory. Pierre Laval, the current Prime Minister and official successor stands again against his rival Admiral Darlan, who's prefered by both the army and the French citizens. Of course, there are also other factions looming for power.;x
350NAME;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;Armistice at Compiègne;X
350DESC;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;After the fall of France in 1940, we were forced to sign the humilating Armistice at Compiègne. While it was never meant to be a permanent peace treaty, the armistice is still being forced upon us. It limits our army, and forces us to make concessions in every way imaginable.;X
350A;Damn!;Damn!;Damn!;Damn!;Damn!;Damn!;Damn!;Damn!;Damn!;Damn!;X
351A;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;Admiral Darlan will return France to glory!;X
351B;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;Pierre Laval will continue Petain's policies!;X
351C;Ultra-Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;Ultra Collaborationist take over, supported by Germany!;X
351D;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;The people riot and establish a true civil government!;X
352DESC;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;The very fact that France is now being controlled by Pro-German forces has not gone unnoticed by the French citizens. Over the last few weeks, riots have been emerging all over the country and the French resistance is stronger than ever before. We have to act!;X
352NAME;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;Chaos in France;X
352A;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;Request immediate German intervention!;X
352B;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;We will put down the protests ourself!;X
353NAME;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;Intervene in France?;X
353DESC;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;Pro-German factions in the French state have come under heavy pressure from their own citizens. They have requested our support, but it will require a very big effort from us to establish stable control in France, while Germany itself has enough other priorities. ;X
353A;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;Send in the troops - Establish control!;X
353B;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;We don't have time for this.;X
354NAME;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;The Government Falls!;X
354DESC;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;The Pro-German government has been toppled by the French citizens themself! They now have either the power to allow Darlan and the army to return, or establishing a true civilian government.;X
354A;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;Admiral Darlan will establish stability!;X
354B;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;A new French Revolution - A new Republic!;X
354C;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;Germany abuses the chaos to invade France!;X
355NAME;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;Case Anton;X
